OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
69299,18th St&Sanchez St NE-NS/BZ,18STSNC1,18STSNCZ,3344,37.761227999999996,-122.430464,,SANCHEZ ST,18TH ST,NS,NE,BZ,0,1724754766000,15644544,145,8,POINT (-122.430464 37.761228),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,3,5,5,37,37
70628,Market St&Noe St N-NS/SI,MRKTNOE0,MRKTNOE.,5686,37.764489,-122.432812,1,NOE ST,MARKET ST,NS,NO,SI,0,1724754766000,15648720,145,8,POINT (-122.432812 37.764489),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,3,5,5,28,28
70631,Noriega St&34th Ave NE-NS/BZ,NORI34A0,NORI34AV,5751,37.753619,-122.492432,,34TH AVE,NORIEGA ST,NS,NE,BZ,0,1724754766000,15648748,145,4,POINT (-122.492432 37.753619),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,10,7,35,39,39
70316,Geneva Ave & Mission St E-NS/BZ,GNVAMIS0,GNVAMISS,4886,37.716473,-122.440874,,MISSION ST,GENEVA AVE,NS,EA,BZ,1,1724754766000,15647236,145,11,POINT (-122.440874 37.716473),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,9,1,7,90,90
71602,Silver Ave&Congdon St SW-NS/PS,SILVCON0,SILVCONG,6402,37.728561,-122.426085,,CONGDON ST,SILVER AVE,NS,SW,,0,1724754766000,15650728,145,11,POINT (-122.426085 37.728561),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,9,1,7,90,90
69414,Bryant St&22ND St SW-FS/BZ,BRYT22S0,BRYT22ST,3743,37.75572,-122.40949,,22ND ST,BRYANT ST,FS,SW,BZ,0,1724754766000,15644956,145,9,POINT (-122.40949 37.75572),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,3,2,20,53,53
71098,Palou Ave&3rd St S-FS/BZ,PALU3.S0,PALU3.ST,5864,37.73385,-122.390859,,LANE ST,PALOU AVE,FS,SO,BZ,0,1724754766000,15654868,145,10,POINT (-122.390859 37.73385),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,2,9,1,86,86
70621,3rd St&Le Conte Ave S-NS/SI,3ST LCN0,,7400,37.718809,-122.397468,1,LE CONTE AVE,3RD ST,,,,0,1724754766000,15649040,145,10,POINT (-122.397468 37.718809),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,2,9,1,88,88
71805,Pacific Ave&Stockton St NW-FS/BZ,PACFST03,,7737,37.796734,-122.408581,,CORDELIA ST,PACIFIC AVE,,,,0,1724754766000,15655528,145,3,POINT (-122.408581 37.796734),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,6,3,6,104,104
70060,Fillmore St&McAllister St SW-FS/BZ,FILLMCA0,FILLMCAL,4629,37.778343,-122.43176199999999,,MCALLISTER ST,FILLMORE ST,FS,SW,BZ,1,1724754766000,15646760,145,5,POINT (-122.431762 37.778343),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,4,11,39,23,23
72203,Noriega St&Sunset Blvd SW-NS/BZ,NORISUN1,NORISUNS,5765,37.753395,-122.495274,,37TH AVE,NORIEGA ST,NS,SW,BZ,1,1724754766000,15653273,145,4,POINT (-122.495274 37.753395),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,10,7,35,39,39
71428,Leavenworth St&Bush St SE-NS/BB,LEAVBUS1,LEAVBUSH,4862,37.789151,-122.415272,,BUSH ST,LEAVENWORTH ST,NS,SE,BZ,1,1724754766000,15650610,145,3,POINT (-122.415272 37.789151),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,6,3,21,50,50
72177,The Embarcadero&Ferry Building W-MB,EMBRFRR0,,7283,37.794827999999995,-122.39377,1,THE EMBARCADERO,MUNI RAIL  -F RROW,,,,0,1724754766000,15652749,145,3,POINT (-122.39377 37.794828),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,6,3,8,108,108
70696,Hudson Ave&Ardath Ct NW-NS,HUDSARD0,HUDSARDT,5042,37.73469,-122.38305,,ARDATH CT,HUDSON AVE,NS,NW,FL,0,1724754766000,15649385,145,10,POINT (-122.38305 37.73469),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,2,9,1,86,86
72268,Frida Kahlo Way&Cloud Circle SW-FS/BZ,FRIDJDS0,PHELJDSN,5925,37.72685,-122.45244199999999,,GENEVA AVE,PHELAN AVE,FS,SW,BZ,0,1724754766000,15652901,145,7,POINT (-122.452442 37.72685),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,9,8,41,71,71
71151,Monterey Blvd&Acadia St NW-FS/BZ,MTRYACA0,MTRYACAD,5420,37.731668,-122.437768,,ACADIA ST,MONTEREY BLVD,FS,NW,BZ,0,1724754766000,15653934,145,7,POINT (-122.437768 37.731668),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,9,8,41,95,95
