Stop ID,Stop Abbr,Stop Name,Lon,Lat,Bus Stop Type,Route(S),Jurisdiction
102044,102044,DECATUR ST SE @ COLLINS ST SE,-84386449,33752300,Sign Strapped to Pole,26,Atlanta
102046,102046,DECATUR ST @ PIEDMONT AVE,-84384945,33751430,Sign Strapped to Pole,26,Atlanta
102052,102052,PRYOR ST SW @ ALICE ST SW,-84394540,33742933,Sign on Post,42,Atlanta
102053,102053,PRYOR ST SW @ FULTON ST SW,-84394550,33742020,Sign on Post,42,Atlanta
102054,102054,CENTRAL AVE SW @ ALICE ST SW,-84393322,33742935,Shelter,42,Atlanta
102074,102074,FORSYTH ST SW @ TRINITY AVE SW,-84395177,33750585,Sign on Post,3;813,Atlanta
102078,102078,TRINITY AVE SW @ TED TURNER DR SW,-84396264,33750513,Sign Strapped to Pole,813,Atlanta
102110,102110,WINDSOR ST SW @ EUGENIA ST SW,-84398382,33743068,Sign on Post,49,Atlanta
102112,102112,WINDSOR ST SW @ FULTON ST SW,-84398380,33741990,Sign on Post,49,Atlanta
102124,102124,AUBURN AVE NE @ PIEDMONT AVE NE,-84382255,33755507,Sign Strapped to Pole,3,Atlanta
102152,102152,MARTIN L KING J DR @ WASHINGTON ST SW,-84388393,33750043,Sign Strapped to Pole,42;813,Atlanta
102170,102170,DECATUR ST SE @ PIEDMONT AVE SE,-84385666,33751540,Sign Strapped to Pole,26,Atlanta
102172,102172,DECATUR ST SE @ BELL ST SE,-84380316,33749797,Sign on Post,26,Atlanta
102173,102173,DECATUR ST SE @ JESSE HILL JR DR SE,-84384285,33750600,Shelter,26,Atlanta
102174,102174,DECATUR ST SE @ PRATT ST SE,-84382914,33749894,Sign on Post,26,Atlanta
102178,102178,EDGEWOOD AVE SE @ COURTLAND ST SE,-84384190,33754539,Sign Strapped to Pole,3,Atlanta
102180,102180,EDGEWOOD AVE @ PEACHTREE CENTER AVE,-84386169,33754513,Sign Strapped to Pole,3,Atlanta
102222,102222,WINDSOR ST SW @ EUGENIA ST SW,-84398064,33743098,Sign on Post,49,Atlanta
102224,102224,WINDSOR ST SW @ FULTON ST SW,-84398120,33741690,Sign on Post,49,Atlanta
102226,102226,MARIETTA ST NW @ BROAD ST (FIVE POINTS STATION),-84390659,33754992,Sign Strapped to Pole,26,Atlanta
102228,102228,DECATUR ST @ KIMBALL WAY,-84388581,33753597,Bench,26;813,Atlanta
102252,102252,CAPITOL AVE SE @ POLLARD BLVD SW,-84387693,33742724,Bench,55,Atlanta
102253,102253,CAPITOL AVE @ MEMORIAL DR,-84387703,33746281,Sign on Post,55;186,Atlanta
102282,102282,DECATUR ST SE @ COLLINS ST SE,-84386602,33752282,Sign Strapped to Pole,26;813,Atlanta
102294,102294,FORSYTH ST @ MARTIN L KING JR DR,-84393592,33752547,Sign Strapped to Pole,813,Atlanta
102298,102298,AUBURN AVE @ EQUITABLE PL NE,-84387626,33755584,Sign on Post,3,Atlanta
102308,102308,PEACHTREE ST @ DECATUR ST,-84389813,33754203,Sign Strapped to Pole,3;40,Atlanta
102310,102310,PEACHTREE ST NE @ EDGEWOOD AVE SE,-84389637,33754637,Sign Strapped to Pole,40,Atlanta
102530,102530,DECATUR ST @ 263,-84381088,33749743,Sign on Post,26,Atlanta
102540,102540,WALL ST @ PRYOR ST,-84389258,33753247,Sign Strapped to Pole,813,Atlanta
102544,102544,PRYOR ST @ RAWSON ST,-84394520,33744606,Sign on Post,42,Atlanta
102546,102546,CENTRAL AVE @ PULLIAM ST,-84393218,33743984,Sign on Post,42,Atlanta
102554,102554,TED TURNER DR SW @ BROTHERTON ST SW,-84398123,33749164,Sign Strapped to Pole,49,Atlanta
102558,102558,AUBURN AVE @ COURTLAND ST,-84384017,33755524,Sign Strapped to Pole,3,Atlanta
103024,103024,MEMORIAL DR SE @ MARTIN ST SE,-84383724,33746986,Sign on Post,21,Atlanta
103026,103026,MEMORIAL DR SE @ FRASER ST SE,-84386347,33746965,Sign Strapped to Pole,21;107,Atlanta
103032,103032,JACKSON ST SE @ LUCY ST,-84374122,33752351,Sign on Post,899,Atlanta
103034,103034,JACKSON ST SE @ DECATUR ST SE,-84373631,33750722,Sign on Post,899,Atlanta
