Stop ID,Stop Name,Location
77172,ON PARVIN AT RANDOLPH WESTBOUND NEARSIDE,"(39.168424, -94.491424)"
2400145,ON 24 HWY AT BROOKSIDE EASTBOUND,"(39.102966, -94.468561)"
1060026,ON 7TH AT WALKER NORTHBOUND,"(39.123693, -94.626744)"
5600134,ON 103RD AT 601 W 103RD STREET EASTBOUN,"(38.941664, -94.600454)"
252309,ON 95TH TERR AT GRANDVIEW RD EASTBOUND FAR,"(38.953974, -94.549659)"
2850066,ON STERLING AT 29TH SOUTHBOUND,"(39.07026, -94.446532)"
3100096,ON JACKSON AT LINWOOD SOUTHBOUND,"(39.067556, -94.534585)"
5751538,ON QUIVIRA AT 93RD SOUTBOUND,"(38.960685, -94.723673)"
116189,ON PARALLEL AT N 86TH ST EASTBOUND NEARSIDE,"(39.128474, -94.779238)"
1612,METRO CENTER ON MAIN AT 12TH ST NS,"(39.100125, -94.583101)"
5300086,ON ARMOUR AT GILLHAM EASTBOUND,"(39.063539, -94.580839)"
25167,ON TROOST AT 63RD NORTHBOUND,"(39.013475, -94.574501)"
5300095,ON 35TH AT WAYNE EASTBOUND,"(39.06297, -94.564933)"
29105,ON 24 HWY AT DUVALL EB,"(39.102473, -94.400873)"
1010023,ON MINNESOTA AT 10TH WESTBOUND,"(39.115575, -94.635032)"
2800092,ON CRISP AT 51ST SOUTHBOUND,"(39.029573, -94.447115)"
5751549,ON 75TH ST AT FLINT EASTBOUND FARSIDE,"(38.992795, -94.718752)"
1213701,ON JACKSON AT 37TH STREET NB,"(39.058363, -94.534913)"
5610062,ON RED BRIDGE AT WALNUT EB,"(38.926321, -94.591492)"
181906,ON N 18TH ST AT NEBRASKA SOUTHBOUND NEARSIDE,"(39.117607, -94.649484)"
1070129,ON 47TH AT MISSION EASTBOUND,"(39.044012, -94.620151)"
1020100,ON BUNKER AT 18TH ST WESTBOUND,"(39.099481, -94.649237)"
2960010,ON BANNISTER AT BENNINGTON WESTBOUND,"(38.952643, -94.513078)"
3700006,ON N OAK AT 79TH TERR SOUTHBOUND,"(39.238279, -94.576078)"
