epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,625.933,0.72579,0.52986,0.90028,0.84313,0.77971,0.81056,0.58099,0.9755,0.7564,0.9794,0.000626832,0.000626832,0.000626832
102,631.951,0.76172,0.5589,0.88275,0.90071,0.73633,0.80402,0.5756,0.9795,0.78781,0.97641,0.000624771,0.000624771,0.000624771
103,637.953,0.7365,0.54567,0.87964,0.91705,0.68813,0.78597,0.56566,0.97512,0.83535,0.9741,0.000622709,0.000622709,0.000622709
104,643.96,0.72835,0.53689,0.888,0.88707,0.69174,0.76582,0.54538,0.98633,0.82774,0.97983,0.000620647,0.000620647,0.000620647
105,649.707,0.75453,0.57036,0.89861,0.86192,0.69232,0.76074,0.54827,0.99245,0.8146,0.98901,0.000618586,0.000618586,0.000618586
106,656.185,0.74064,0.55054,0.90209,0.92525,0.71116,0.79169,0.57084,0.98861,0.77054,0.98156,0.000616524,0.000616524,0.000616524
107,662.027,0.75267,0.54436,0.88748,0.87134,0.72449,0.7948,0.57695,0.98175,0.80034,0.9745,0.000614462,0.000614462,0.000614462
108,668.737,0.73892,0.52983,0.88182,0.84806,0.73818,0.77878,0.56533,1.00198,0.85939,0.99427,0.000612401,0.000612401,0.000612401
109,675.393,0.72524,0.52651,0.88466,0.86344,0.73977,0.79518,0.56615,0.99272,0.85289,0.97633,0.000610339,0.000610339,0.000610339
110,682.402,0.74137,0.56348,0.89202,0.81225,0.76739,0.79909,0.56824,0.99994,0.796,0.98628,0.000608277,0.000608277,0.000608277
111,689.092,0.73229,0.52603,0.89184,0.88534,0.75435,0.8072,0.58502,0.97933,0.77884,0.97114,0.000606216,0.000606216,0.000606216
112,695.061,0.72748,0.5244,0.88768,0.86617,0.74451,0.7969,0.57944,0.97792,0.78975,0.9767,0.000604154,0.000604154,0.000604154
113,701.333,0.7381,0.55328,0.88446,0.89729,0.74339,0.8036,0.5856,0.96287,0.78835,0.97456,0.000602092,0.000602092,0.000602092
114,707.402,0.71719,0.51639,0.88631,0.89128,0.68575,0.76709,0.54944,0.98148,0.79134,0.98825,0.000600031,0.000600031,0.000600031
115,713.297,0.74071,0.53727,0.88597,0.81234,0.75958,0.77548,0.55275,0.97898,0.78913,0.98596,0.000597969,0.000597969,0.000597969
116,719.515,0.71181,0.51084,0.88604,0.89924,0.70689,0.79457,0.56061,0.98579,0.79747,0.97795,0.000595907,0.000595907,0.000595907
117,726.275,0.72871,0.5215,0.88028,0.90131,0.74137,0.81331,0.58057,0.98544,0.79233,0.96022,0.000593846,0.000593846,0.000593846
118,732.343,0.73087,0.53148,0.89739,0.86651,0.7327,0.79343,0.56833,1.02234,0.82299,0.98131,0.000591784,0.000591784,0.000591784
119,738.229,0.72373,0.51865,0.88122,0.85617,0.76293,0.80841,0.58403,0.97713,0.78076,0.97298,0.000589722,0.000589722,0.000589722
120,744.525,0.72091,0.54088,0.87265,0.90773,0.75613,0.82223,0.59018,0.98848,0.7641,0.97458,0.000587661,0.000587661,0.000587661
121,751.166,0.70606,0.51545,0.87841,0.86858,0.73894,0.81803,0.58608,0.96958,0.74668,0.96347,0.000585599,0.000585599,0.000585599
122,758.85,0.71714,0.5153,0.88289,0.90054,0.74695,0.81309,0.58614,0.95371,0.71511,0.96453,0.000583537,0.000583537,0.000583537
123,764.866,0.71222,0.52165,0.87522,0.92293,0.71593,0.80977,0.58667,0.95539,0.75593,0.9628,0.000581476,0.000581476,0.000581476
124,770.713,0.72229,0.52485,0.87601,0.88698,0.74273,0.80424,0.58521,0.96678,0.77373,0.97707,0.000579414,0.000579414,0.000579414
125,776.551,0.71804,0.5042,0.88298,0.90192,0.72778,0.8022,0.58517,0.96883,0.77804,0.97443,0.000577352,0.000577352,0.000577352
126,782.39,0.70936,0.49999,0.87783,0.91833,0.72905,0.81118,0.58371,0.96991,0.769,0.96927,0.000575291,0.000575291,0.000575291
127,788.956,0.71197,0.51221,0.87524,0.86461,0.76283,0.81331,0.59084,0.98488,0.80093,0.97311,0.000573229,0.000573229,0.000573229
128,794.985,0.72126,0.53348,0.89639,0.89534,0.77764,0.82367,0.59438,0.98836,0.7811,0.97641,0.000571167,0.000571167,0.000571167
129,801.039,0.71969,0.51341,0.88263,0.92769,0.71364,0.82158,0.59045,0.9814,0.77807,0.97564,0.000569106,0.000569106,0.000569106
130,806.848,0.71767,0.52465,0.88268,0.89564,0.76077,0.8303,0.60339,0.97027,0.72937,0.9604,0.000567044,0.000567044,0.000567044
131,812.614,0.71612,0.50279,0.87703,0.89511,0.74343,0.80948,0.58825,0.95031,0.7234,0.95885,0.000564982,0.000564982,0.000564982
132,819.77,0.74282,0.50831,0.87361,0.94369,0.71162,0.79273,0.5827,0.99432,0.77754,0.97186,0.000562921,0.000562921,0.000562921
