epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,2346.19,0.80866,0.53281,0.91091,0.88825,0.80718,0.8639,0.59754,0.92987,0.60276,0.97734,0.00053668,0.00053668,0.00053668
119,2366.18,0.80296,0.53106,0.91659,0.89082,0.77979,0.86078,0.59827,0.9403,0.62961,0.97773,0.00053272,0.00053272,0.00053272
120,2384.95,0.79984,0.53019,0.91234,0.90866,0.77092,0.85562,0.59606,0.91664,0.62254,0.96319,0.00052876,0.00052876,0.00052876
121,2404.22,0.81434,0.53476,0.91799,0.88883,0.79549,0.85132,0.60113,0.92687,0.60074,0.97709,0.0005248,0.0005248,0.0005248
122,2423.37,0.80199,0.52783,0.911,0.92581,0.7586,0.85162,0.59469,0.93608,0.60711,0.98099,0.00052084,0.00052084,0.00052084
123,2442.34,0.80058,0.51942,0.91637,0.88925,0.78416,0.85202,0.59516,0.9582,0.58868,0.99204,0.00051688,0.00051688,0.00051688
124,2462.21,0.80758,0.53059,0.91125,0.90373,0.75843,0.84771,0.59776,0.93582,0.61135,0.97849,0.00051292,0.00051292,0.00051292
125,2482.7,0.75935,0.49723,0.90156,0.90964,0.76479,0.84677,0.59471,0.93498,0.60573,0.97099,0.00050896,0.00050896,0.00050896
126,2502.06,0.79103,0.52005,0.90284,0.8842,0.76143,0.84434,0.59272,0.93634,0.63358,0.97509,0.000505,0.000505,0.000505
127,2520.92,0.79049,0.51606,0.91709,0.89724,0.77801,0.85672,0.60005,0.94759,0.59129,0.98914,0.00050104,0.00050104,0.00050104
128,2539.92,0.76132,0.49831,0.90819,0.92039,0.78954,0.86442,0.60615,0.94551,0.5882,0.98359,0.00049708,0.00049708,0.00049708
129,2558.73,0.77331,0.50008,0.91113,0.90614,0.78888,0.86334,0.60703,0.92578,0.59148,0.96633,0.00049312,0.00049312,0.00049312
130,2578.56,0.78406,0.51817,0.91352,0.9299,0.78477,0.86128,0.59976,0.96006,0.60592,0.99056,0.00048916,0.00048916,0.00048916
131,2599.03,0.78538,0.50904,0.91072,0.90679,0.78844,0.8575,0.59185,0.9576,0.63478,0.98765,0.0004852,0.0004852,0.0004852
132,2618.71,0.77656,0.50898,0.91297,0.87957,0.80392,0.86375,0.60125,0.94107,0.58936,0.98129,0.00048124,0.00048124,0.00048124
133,2637.81,0.77597,0.50129,0.90744,0.9054,0.79503,0.86143,0.59656,0.93377,0.59799,0.96811,0.00047728,0.00047728,0.00047728
134,2656.91,0.78056,0.50477,0.9048,0.91852,0.78283,0.86806,0.60384,0.95903,0.61193,0.97589,0.00047332,0.00047332,0.00047332
135,2675.84,0.78544,0.51245,0.91125,0.87792,0.78608,0.85195,0.59415,0.95561,0.58905,0.98262,0.00046936,0.00046936,0.00046936
